Date,Date_th,num3_top,num2_top,num2
1/11/13,1/11/56,804,4,47
16/10/13,16/10/56,289,89,60
1/10/13,1/10/56,882,82,14
16/9/13,16/9/56,684,84,63
1/9/13,1/9/56,123,23,05
16/8/13,16/8/56,327,27,20
1/8/13,1/8/56,435,35,82
16/7/13,16/7/56,996,96,86
1/7/13,1/7/56,905,5,51
16/6/13,16/6/56,673,73,69
1/6/13,1/6/56,489,89,90
16/5/13,16/5/56,125,25,56
2/5/13,2/5/56,458,58,07
16/4/13,16/4/56,846,46,86
1/4/13,1/4/56,688,88,53
16/3/13,16/3/56,433,33,52
1/3/13,1/3/56,241,41,37
16/2/13,16/2/56,257,57,09
1/2/13,1/2/56,566,66,66
16/1/13,16/1/56,981,81,08
30/12/12,30/12/55,358,58,00
16/12/12,16/12/55,524,24,72
1/12/12,1/12/55,443,43,43
16/11/12,16/11/55,500,0,15
1/11/12,1/11/55,694,94,63
16/10/12,16/10/55,343,43,28
1/10/12,1/10/55,25,25,58
16/9/12,16/9/55,143,43,79
1/9/12,1/9/55,997,97,07
16/8/12,16/8/55,877,77,28
1/8/12,1/8/55,590,90,50
16/7/12,16/7/55,50,50,11
1/7/12,1/7/55,900,0,60
16/6/12,16/6/55,373,73,51
1/6/12,1/6/55,727,27,38
16/5/12,16/5/55,418,18,31
2/5/12,2/5/55,501,1,29
16/4/12,16/4/55,470,70,62
1/4/12,1/4/55,562,62,69
16/3/12,16/3/55,64,64,08
1/3/12,1/3/55,518,18,79
16/2/12,16/2/55,684,84,18
1/2/12,1/2/55,605,5,32
16/1/12,16/1/55,445,45,81
30/12/11,30/12/54,402,2,65
16/12/11,16/12/54,178,78,21
1/12/11,1/12/54,147,47,02
16/11/11,16/11/54,777,77,57
1/11/11,1/11/54,540,40,54
16/10/11,16/10/54,756,56,83
1/10/11,1/10/54,52,52,15
16/9/11,16/9/54,198,98,28
1/9/11,1/9/54,533,33,85
16/8/11,16/8/54,960,60,62
1/8/11,1/8/54,756,56,12
16/7/11,16/7/54,556,56,12
1/7/11,1/7/54,953,53,51
16/6/11,16/6/54,276,76,88
1/6/11,1/6/54,370,70,46
16/5/11,16/5/54,417,17,05
2/5/11,2/5/54,136,36,85
16/4/11,16/4/54,988,88,44
1/4/11,1/4/54,931,31,01
16/3/11,16/3/54,331,31,96
1/3/11,1/3/54,37,37,97
16/2/11,16/2/54,746,46,27
1/2/11,1/2/54,89,89,55
16/1/11,16/1/54,62,62,23
30/12/10,30/12/53,112,12,49
16/12/10,16/12/53,380,80,24
1/12/10,1/12/53,752,52,09
16/11/10,16/11/53,993,93,43
1/11/10,1/11/53,100,0,59
16/10/10,16/10/53,377,77,42
1/10/10,1/10/53,372,72,02
16/9/10,16/9/53,422,22,66
1/9/10,1/9/53,656,56,11
16/8/10,16/8/53,97,97,64
1/8/10,1/8/53,8,8,10
16/7/10,16/7/53,387,87,34
1/7/10,1/7/53,239,39,68
16/6/10,16/6/53,104,4,73
1/6/10,1/6/53,874,74,81
16/5/10,16/5/53,12,12,12
2/5/10,2/5/53,371,71,06
16/4/10,16/4/53,743,43,96
1/4/10,1/4/53,517,17,22
16/3/10,16/3/53,222,22,97
1/3/10,1/3/53,227,27,97
16/2/10,16/2/53,707,7,03
1/2/10,1/2/53,312,12,14
16/1/10,16/1/53,577,77,67
30/12/09,30/12/52,304,4,87
16/12/09,16/12/52,141,41,05
1/12/09,1/12/52,980,80,59
16/11/09,16/11/52,986,86,58
1/11/09,1/11/52,140,40,85
16/10/09,16/10/52,487,87,00
1/10/09,1/10/52,387,87,06
16/9/09,16/9/52,912,12,48
1/9/09,1/9/52,865,65,32
16/8/09,16/8/52,933,33,96
1/8/09,1/8/52,986,86,92
16/7/09,16/7/52,816,16,94
1/7/09,1/7/52,542,42,66
16/6/09,16/6/52,456,56,15
1/6/09,1/6/52,661,61,26
16/5/09,16/5/52,411,11,54
2/5/09,2/5/52,452,52,11
16/4/09,16/4/52,415,15,33
1/4/09,1/4/52,578,78,50
16/3/09,16/3/52,812,12,36
1/3/09,1/3/52,91,91,67
16/2/09,16/2/52,730,30,93
1/2/09,1/2/52,533,33,69
16/1/09,16/1/52,212,12,25
30/12/08,30/12/51,596,96,22
16/12/08,16/12/51,114,14,25
1/12/08,1/12/51,434,34,05
16/11/08,16/11/51,612,12,20
1/11/08,1/11/51,28,28,76
16/10/08,16/10/51,277,77,98
1/10/08,1/10/51,911,11,67
16/9/08,16/9/51,377,77,56
1/9/08,1/9/51,993,93,09
16/8/08,16/8/51,377,77,36
1/8/08,1/8/51,348,48,11
16/7/08,16/7/51,374,74,41
1/7/08,1/7/51,671,71,50
16/6/08,16/6/51,111,11,75
1/6/08,1/6/51,875,75,35
16/5/08,16/5/51,231,31,69
2/5/08,2/5/51,11,11,62
16/4/08,16/4/51,800,0,64
1/4/08,1/4/51,653,53,71
16/3/08,16/3/51,946,46,33
1/3/08,1/3/51,685,85,05
16/2/08,16/2/51,54,54,80
1/2/08,1/2/51,684,84,26
16/1/08,16/1/51,10,10,81
30/12/07,30/12/50,411,11,81
16/12/07,16/12/50,501,1,96
1/12/07,1/12/50,410,10,18
16/11/07,16/11/50,481,81,73
1/11/07,1/11/50,907,7,88
16/10/07,16/10/50,988,88,48
1/10/07,1/10/50,667,67,76
16/9/07,16/9/50,336,36,45
1/9/07,1/9/50,810,10,69
16/8/07,16/8/50,207,7,93
1/8/07,1/8/50,924,24,29
16/7/07,16/7/50,384,84,77
1/7/07,1/7/50,151,51,76
16/6/07,16/6/50,194,94,41
1/6/07,1/6/50,393,93,05
16/5/07,16/5/50,897,97,25
2/5/07,2/5/50,374,74,81
16/4/07,16/4/50,105,5,63
1/4/07,1/4/50,780,80,93
16/3/07,16/3/50,763,63,85
1/3/07,1/3/50,425,25,61
16/2/07,16/2/50,859,59,95
1/2/07,1/2/50,925,25,56
16/1/07,16/1/50,739,39,55
30/12/06,30/12/49,584,84,07
16/12/06,16/12/49,977,77,45
1/12/06,1/12/49,52,52,12
16/11/06,16/11/49,856,56,94
1/11/06,1/11/49,957,57,29
16/10/06,16/10/49,825,25,58
1/10/06,1/10/49,335,35,92
16/9/06,16/9/49,948,48,41
1/9/06,1/9/49,761,61,44
16/8/06,16/8/49,486,86,91
1/8/06,1/8/49,654,54,88
16/7/06,16/7/49,434,34,48
1/7/06,1/7/49,890,90,65
16/6/06,16/6/49,935,35,17
1/6/06,1/6/49,850,50,99
16/5/06,16/5/49,344,44,71
2/5/06,2/5/49,554,54,27
16/4/06,16/4/49,564,64,49
1/4/06,1/4/49,365,65,95
16/3/06,16/3/49,177,77,30
1/3/06,1/3/49,473,73,43
16/2/06,16/2/49,9,9,66
1/2/06,1/2/49,729,29,87
16/1/06,16/1/49,747,47,79
30/12/05,30/12/48,955,55,94
16/12/05,16/12/48,565,65,86
1/12/05,1/12/48,551,51,17
16/11/05,16/11/48,518,18,80
1/11/05,1/11/48,577,77,98
16/10/05,16/10/48,72,72,71
1/10/05,1/10/48,482,82,24
16/9/05,16/9/48,768,68,10
1/9/05,1/9/48,933,33,17
16/8/05,16/8/48,560,60,68
1/8/05,1/8/48,633,33,26
16/7/05,16/7/48,452,52,13
1/7/05,1/7/48,554,54,87
16/6/05,16/6/48,70,70,44
1/6/05,1/6/48,893,93,35
16/5/05,16/5/48,134,34,97
2/5/05,2/5/48,467,67,43
16/4/05,16/4/48,327,27,10
1/4/05,1/4/48,753,53,69
16/3/05,16/3/48,345,45,03
1/3/05,1/3/48,751,51,93
16/2/05,16/2/48,422,22,53
1/2/05,1/2/48,54,54,34
16/1/05,16/1/48,22,22,08
30/12/04,30/12/47,858,58,28
16/12/04,16/12/47,372,72,17
1/12/04,1/12/47,658,58,69
16/11/04,16/11/47,622,22,64
1/11/04,1/11/47,966,66,23
16/10/04,16/10/47,858,58,62
1/10/04,1/10/47,866,66,66
16/9/04,16/9/47,373,73,59
1/9/04,1/9/47,597,97,70
16/8/04,16/8/47,921,21,59
2/8/04,2/8/47,990,90,45
16/7/04,16/7/47,588,88,25
1/7/04,1/7/47,471,71,66
16/6/04,16/6/47,713,13,87
1/6/04,1/6/47,144,44,72
16/5/04,16/5/47,207,7,13
2/5/04,2/5/47,403,3,91
16/4/04,16/4/47,832,32,12
1/4/04,1/4/47,391,91,62
16/3/04,16/3/47,366,66,69
1/3/04,1/3/47,483,83,50
16/2/04,16/2/47,2,2,00
1/2/04,1/2/47,822,22,77
16/1/04,16/1/47,342,42,96
30/12/03,30/12/46,447,47,64
16/12/03,16/12/46,947,47,87
1/12/03,1/12/46,307,7,78
16/11/03,16/11/46,511,11,68
1/11/03,1/11/46,438,38,47
16/10/03,16/10/46,500,0,03
1/10/03,1/10/46,40,40,43
16/9/03,16/9/46,589,89,53
1/9/03,1/9/46,813,13,92
16/8/03,16/8/46,771,71,00
1/8/03,1/8/46,98,98,91
16/7/03,16/7/46,545,45,75
1/7/03,1/7/46,414,14,91
16/6/03,16/6/46,872,72,29
1/6/03,1/6/46,66,66,36
16/5/03,16/5/46,784,84,20
2/5/03,2/5/46,603,3,12
16/4/03,16/4/46,525,25,21
1/4/03,1/4/46,164,64,86
16/3/03,16/3/46,62,62,64
1/3/03,1/3/46,22,22,42
17/2/03,17/2/46,578,78,61
1/2/03,1/2/46,370,70,94
16/1/03,16/1/46,85,85,06
30/12/02,30/12/45,196,96,95
16/12/02,16/12/45,682,82,67
1/12/02,1/12/45,422,22,37
16/11/02,16/11/45,344,44,55
1/11/02,1/11/45,498,98,25
16/10/02,16/10/45,641,41,51
1/10/02,1/10/45,505,5,72
16/9/02,16/9/45,50,50,85
1/9/02,1/9/45,200,0,51
16/8/02,16/8/45,108,8,57
1/8/02,1/8/45,438,38,88
16/7/02,16/7/45,264,64,69
1/7/02,1/7/45,447,47,24
16/6/02,16/6/45,261,61,07
1/6/02,1/6/45,149,49,02
16/5/02,16/5/45,714,14,76
2/5/02,2/5/45,664,64,56
16/4/02,16/4/45,630,30,37
1/4/02,1/4/45,543,43,57
16/3/02,16/3/45,152,52,04
1/3/02,1/3/45,590,90,55
16/2/02,16/2/45,853,53,92
1/2/02,1/2/45,270,70,40
16/1/02,16/1/45,670,70,14
30/12/01,30/12/44,367,67,64
16/12/01,16/12/44,675,75,19
1/12/01,1/12/44,22,22,49
16/11/01,16/11/44,706,6,74
1/11/01,1/11/44,472,72,52
16/10/01,16/10/44,5,5,48
1/10/01,1/10/44,154,54,15
16/9/01,16/9/44,426,26,82
1/9/01,1/9/44,67,67,14
16/8/01,16/8/44,135,35,10
1/8/01,1/8/44,597,97,11
16/7/01,16/7/44,715,15,50
1/7/01,1/7/44,987,87,34
16/6/01,16/6/44,394,94,75
1/6/01,1/6/44,311,11,80
16/5/01,16/5/44,982,82,61
2/5/01,2/5/44,95,95,64
16/4/01,16/4/44,843,43,28
1/4/01,1/4/44,998,98,49
16/3/01,16/3/44,616,16,45
1/3/01,1/3/44,537,37,85
16/2/01,16/2/44,267,67,47
1/2/01,1/2/44,703,3,13
16/1/01,16/1/44,16,16,36
30/12/00,30/12/43,451,51,31
16/12/00,16/12/43,676,76,91
1/12/00,1/12/43,956,56,56
16/11/00,16/11/43,311,11,10
1/11/00,1/11/43,182,82,90
16/10/00,16/10/43,662,62,39
1/10/00,1/10/43,582,82,26
16/9/00,16/9/43,251,51,05
1/9/00,1/9/43,367,67,52
16/8/00,16/8/43,13,13,57
1/8/00,1/8/43,540,40,18
16/7/00,16/7/43,342,42,43
1/7/00,1/7/43,71,71,29
16/6/00,16/6/43,696,96,57
1/6/00,1/6/43,761,61,16
16/5/00,16/5/43,315,15,56
2/5/00,2/5/43,715,15,20
16/4/00,16/4/43,777,77,63
1/4/00,1/4/43,948,48,99
16/3/00,16/3/43,311,11,65
1/3/00,1/3/43,833,33,63
16/2/00,16/2/43,816,16,91
1/2/00,1/2/43,213,13,85
16/1/00,16/1/43,183,83,82
30/12/99,30/12/42,108,8,03
16/12/99,16/12/42,853,53,30
1/12/99,1/12/42,281,81,79
16/11/99,16/11/42,354,54,14
1/11/99,1/11/42,335,35,03
16/10/99,16/10/42,227,27,28
1/10/99,1/10/42,676,76,80
16/9/99,16/9/42,506,6,46
1/9/99,1/9/42,344,44,33
16/8/99,16/8/42,998,98,65
1/8/99,1/8/42,860,60,98
16/7/99,16/7/42,416,16,03
1/7/99,1/7/42,441,41,67
16/6/99,16/6/42,794,94,63
1/6/99,1/6/42,626,26,08
16/5/99,16/5/42,818,18,16
2/5/99,2/5/42,483,83,45
16/4/99,16/4/42,94,94,35
1/4/99,1/4/42,957,57,92
16/3/99,16/3/42,278,78,63
2/3/99,2/3/42,214,14,58
16/2/99,16/2/42,213,13,41
1/2/99,1/2/42,860,60,69
16/1/99,16/1/42,611,11,13
30/12/98,30/12/41,147,47,50
16/12/98,16/12/41,813,13,55
1/12/98,1/12/41,569,69,58
16/11/98,16/11/41,744,44,20
1/11/98,1/11/41,846,46,29
16/10/98,16/10/41,80,80,74
1/10/98,1/10/41,844,44,18
16/9/98,16/9/41,720,20,65
1/9/98,1/9/41,795,95,96
16/8/98,16/8/41,784,84,91
1/8/98,1/8/41,493,93,22
16/7/98,16/7/41,991,91,52
1/7/98,1/7/41,123,23,65
16/6/98,16/6/41,76,76,19
1/6/98,1/6/41,88,88,67
16/5/98,16/5/41,43,43,63
2/5/98,2/5/41,807,7,72
16/4/98,16/4/41,573,73,17
1/4/98,1/4/41,930,30,66
16/3/98,16/3/41,701,1,79
1/3/98,1/3/41,864,64,74
16/2/98,16/2/41,897,97,69
1/2/98,1/2/41,959,59,48
16/1/98,16/1/41,195,95,34
30/12/97,30/12/40,704,4,65
16/12/97,16/12/40,240,40,71
1/12/97,1/12/40,559,59,86
16/11/97,16/11/40,462,62,99
1/11/97,1/11/40,201,1,39
